data,cliente_id,cliente_nome,empresa,segmento,canal,campanha,impressoes,cliques,custo,conversoes,receita
2026-01-13,18,Ian das Neves,Cassiano Pacheco e Filhos,SaaS,Google Ads,Retargeting,33094,1440,850.24,76,8676.33
2026-01-30,42,Luigi Araújo,Vasconcelos,Varejo,Meta Ads,Promo,7949,1922,2619.67,124,8282.39
2026-01-06,51,Vitória Fernandes,Melo,E-commerce,LinkedIn Ads,Black Friday,22289,1495,2109.93,20,2094.99
2026-01-09,23,Amanda Aparecida,Freitas Fernandes e Filhos,Varejo,Google Ads,Black Friday,43958,619,2111.13,76,8174.65
2026-01-09,57,Laís Nunes,da Mota - EI,E-commerce,LinkedIn Ads,Black Friday,11811,198,3480.24,33,2699.06
2026-01-04,49,Valentim Moreira,Cirino - EI,Varejo,Meta Ads,Awareness,35094,132,2875.65,35,3226.11
2026-01-18,36,Maria Cecília Pimenta,Barbosa Lima - ME,Marketing,Meta Ads,Awareness,9436,159,547.57,119,6732.78
2026-01-14,56,Sra. Ana Clara Lima,Barbosa,Marketing,TikTok Ads,Conversão,13309,1867,1760.1,53,2726.23
2026-01-29,19,Emilly Porto,Carvalho S/A,Varejo,LinkedIn Ads,Conversão,27105,1695,2161.63,81,11365.47
2026-01-01,60,Vitor Hugo da Rocha,Caldeira - ME,SaaS,TikTok Ads,Conversão,17470,1500,621.65,92,10868.33
2026-01-02,72,Dra. Melina Pereira,Monteiro,SaaS,LinkedIn Ads,Promo,43618,719,1570.1,97,8765.26
2026-01-21,23,Fernando Silva,Pimenta - ME,Varejo,Meta Ads,Conversão,13743,1809,639.66,120,15785.22
2026-01-13,69,Henry Pinto,Peixoto Nogueira - ME,Varejo,TikTok Ads,Awareness,49514,1674,3988.8,35,4115.25
2026-01-07,59,Manuella da Luz,Caldeira Rodrigues - EI,SaaS,LinkedIn Ads,Awareness,45450,1537,4937.07,49,3010.5
2026-01-21,28,Srta. Aylla Silveira,Vasconcelos Melo Ltda.,Varejo,Meta Ads,Awareness,49525,640,4190.18,45,5378.43
2026-01-29,46,Lucas Azevedo,Carvalho Ltda.,Marketing,Meta Ads,Awareness,25265,150,3311.39,18,2252.78
2026-01-31,7,Dr. Ryan Pinto,da Luz Ltda.,Varejo,Google Ads,Lead Gen,9558,903,4806.05,117,8970.38
2026-01-16,84,Maria Júlia Rezende,da Mota,Varejo,Google Ads,Conversão,27630,515,4383.38,141,12314.57
2026-01-15,40,Marcos Vinicius Aragão,Souza,Varejo,Google Ads,Black Friday,15162,892,4736.5,24,3492.88
2026-01-28,45,Rebeca Monteiro,Barbosa,SaaS,Google Ads,Promo,25618,1628,1186.41,46,5870.34
2026-01-20,75,Laís Camargo,Garcia Brito S.A.,Marketing,TikTok Ads,Conversão,28562,795,2902.38,90,9771.67
2026-01-15,72,Benicio Pinto,Montenegro Sá S/A,Varejo,Google Ads,Black Friday,22739,911,4862.76,144,13728.69
2026-01-26,26,Srta. Antonella Siqueira,Sampaio,Marketing,LinkedIn Ads,Conversão,14939,350,2244.28,73,5198.58
2026-01-30,90,Heloísa Rocha,Ferreira,Varejo,Google Ads,Conversão,26212,1534,4279.95,146,13925.46
2026-01-03,16,Jade da Paz,Borges e Filhos,SaaS,TikTok Ads,Promo,22916,666,1303.26,122,16393.61
2026-01-09,4,Elisa Sales,da Paz,Marketing,Google Ads,Black Friday,10765,1263,1597.47,51,3329.94
2026-01-29,88,Maria Laura Gonçalves,da Mota Ltda.,Varejo,LinkedIn Ads,Promo,8776,1710,3864.6,13,1212.68
2026-01-14,46,Sr. Cauê Melo,da Costa,Marketing,Google Ads,Conversão,7591,900,1347.94,118,12807.25
2026-01-07,44,Ryan Moura,Costa S.A.,Marketing,TikTok Ads,Retargeting,18249,1404,4250.05,119,17277.93
2026-01-23,72,Marcos Vinicius Jesus,Freitas Leão Ltda.,SaaS,LinkedIn Ads,Promo,24310,372,1440.54,17,2253.91
2026-01-24,36,Antony Santos,Nogueira Azevedo - ME,SaaS,Google Ads,Awareness,36929,737,3570.74,137,20324.35
2026-01-08,16,Caroline Novais,da Paz,Varejo,LinkedIn Ads,Promo,40539,551,1476.7,96,10288.96
2026-01-23,45,Luiz Miguel Almeida,da Cruz S.A.,Marketing,LinkedIn Ads,Retargeting,22282,237,4293.41,89,7857.5
2026-01-08,84,Bento Pereira,Machado Farias Ltda.,E-commerce,Meta Ads,Awareness,36709,1327,1879.93,108,15616.34
2026-01-19,29,Davi Lucca da Luz,Andrade e Filhos,SaaS,TikTok Ads,Black Friday,40579,1844,1709.47,15,1063.39
2026-01-31,87,Emanuel Nascimento,Pereira Ltda.,Marketing,LinkedIn Ads,Black Friday,40377,1604,3546.84,20,2562.35
2026-01-07,38,Dr. Luiz Gustavo Melo,Sales Aparecida S.A.,Marketing,TikTok Ads,Black Friday,24867,518,3808.75,125,12294.19
2026-01-15,6,Lara Gonçalves,Ramos,SaaS,Meta Ads,Lead Gen,17674,1054,1079.88,137,15535.76
2026-01-06,88,Lara Fogaça,Guerra - ME,E-commerce,Meta Ads,Retargeting,23881,1380,3914.32,141,11844.22
2026-01-28,32,Bruno Vieira,Mendes S/A,E-commerce,LinkedIn Ads,Awareness,11268,615,3543.69,49,3429.55
2026-01-09,25,Maria Laura Leão,Nogueira Pires - ME,SaaS,Google Ads,Lead Gen,49684,1477,3690.31,14,1759.29
2026-01-01,4,Ágatha Sales,Casa Grande,SaaS,TikTok Ads,Awareness,48122,1592,3250.98,29,3125.0
2026-01-13,15,Dra. Luana da Luz,Garcia - ME,Varejo,Meta Ads,Awareness,36171,1154,703.28,138,11698.45
2026-01-01,95,Joana Nunes,da Rosa,Varejo,Google Ads,Awareness,25685,441,2643.55,10,1052.6
2026-01-22,55,Kevin Cirino,Duarte Barros Ltda.,SaaS,LinkedIn Ads,Promo,18447,1397,1366.68,141,18841.05
2026-01-15,81,Gabriel Fonseca,Cardoso,Varejo,LinkedIn Ads,Black Friday,38863,1343,3585.89,102,7492.73
2026-01-22,88,Ravi Lucca da Cruz,da Paz S/A,E-commerce,LinkedIn Ads,Conversão,19324,585,3630.87,63,6449.27
2026-01-28,64,Dr. Ravi Lucca Viana,Santos,E-commerce,TikTok Ads,Lead Gen,47249,1547,4219.27,72,8034.13
2026-01-16,77,Ester Vargas,Fernandes Ltda.,Marketing,TikTok Ads,Awareness,32382,1828,3768.01,119,17036.07
2026-01-04,74,Yuri Montenegro,Correia,SaaS,Google Ads,Lead Gen,39498,1754,3672.41,114,10335.47
2026-01-09,28,Maria Helena Pinto,Fogaça,SaaS,Google Ads,Lead Gen,28329,930,868.12,72,4922.11
2026-01-06,97,Jade Vasconcelos,Mendes,Varejo,LinkedIn Ads,Conversão,47162,1623,3919.67,108,10764.71
2026-01-21,88,Antônio Casa Grande,Sampaio,Varejo,TikTok Ads,Retargeting,28846,1593,3390.11,35,4729.86
2026-01-27,65,Elisa Jesus,Campos,Varejo,TikTok Ads,Retargeting,16479,1315,797.12,12,803.81
2026-01-19,84,Emanuel Vieira,Fonseca da Rocha - EI,E-commerce,LinkedIn Ads,Conversão,18692,1045,2437.18,110,6408.47
2026-01-03,31,Yasmin Costa,Dias,Varejo,Google Ads,Conversão,24499,1310,2543.13,39,3841.43
2026-01-20,61,Luiz Otávio Leão,Fogaça Nogueira e Filhos,E-commerce,LinkedIn Ads,Black Friday,10659,1735,2273.35,81,7467.31
2026-01-27,86,Bryan Sá,Nogueira - ME,Varejo,TikTok Ads,Conversão,12259,117,4749.45,132,6791.75
2026-01-15,33,Dr. Paulo Rodrigues,das Neves,Marketing,LinkedIn Ads,Awareness,18322,1802,3573.01,104,7234.41
2026-01-19,55,Evelyn Abreu,Ribeiro Pinto e Filhos,Marketing,Meta Ads,Black Friday,45308,414,3730.54,17,1857.88
2026-01-06,81,Sra. Manuella Monteiro,Cunha Barbosa S/A,E-commerce,TikTok Ads,Awareness,38186,265,1030.48,118,14126.08
2026-01-11,69,Maysa Nunes,Siqueira,E-commerce,Google Ads,Black Friday,5904,1096,3407.52,149,7898.42
2026-01-17,55,Gabrielly Rezende,Barbosa Sousa e Filhos,Varejo,Meta Ads,Conversão,30882,1258,3291.76,33,3830.07
2026-01-02,21,Maria Castro,Duarte da Paz e Filhos,SaaS,LinkedIn Ads,Retargeting,22446,896,2022.78,67,9875.83
2026-01-08,4,Isabela Castro,Silva Machado S/A,Varejo,Google Ads,Retargeting,7895,1594,3089.25,108,12138.8
2026-01-27,88,Ravi Lucca Gonçalves,Campos,Marketing,LinkedIn Ads,Awareness,25077,792,4688.81,38,4478.47
2026-01-14,3,Isabella Gomes,da Rosa Mendonça - ME,E-commerce,Google Ads,Conversão,25950,421,3718.84,137,10037.16
2026-01-30,7,Stephany da Conceição,Fernandes,Varejo,TikTok Ads,Conversão,23248,1081,3547.27,14,1503.77
2026-01-02,7,João Vitor Silva,Ferreira - ME,Varejo,TikTok Ads,Conversão,23656,1387,3719.45,125,8607.75
2026-01-29,30,Bruna Duarte,Câmara Moreira Ltda.,Marketing,LinkedIn Ads,Conversão,41112,1229,3112.42,32,2490.72
2026-01-30,61,Sophia Moura,Pires,E-commerce,Google Ads,Black Friday,48869,1109,3456.86,132,18637.5
2026-01-25,34,Ester Moraes,Marques,Marketing,TikTok Ads,Awareness,41241,1260,4611.16,89,7029.1
2026-01-08,76,Sr. Kevin Cavalcanti,Nascimento,Marketing,LinkedIn Ads,Retargeting,15118,1969,2927.17,114,14289.71
2026-01-23,59,Benicio Macedo,Souza - ME,Marketing,Meta Ads,Black Friday,7551,297,1556.41,129,12648.95
2026-01-31,12,Ryan Aragão,Cardoso,Varejo,Meta Ads,Black Friday,41448,1487,1482.67,50,5022.87
2026-01-22,20,Marina das Neves,Rios,E-commerce,Google Ads,Black Friday,35091,661,2305.58,29,2719.49
2026-01-05,66,Alexandre Sales,Leão,SaaS,TikTok Ads,Lead Gen,28997,108,2492.0,54,6935.53
2026-01-10,22,Letícia Novais,Guerra Albuquerque S.A.,Marketing,Google Ads,Black Friday,26263,694,1586.9,48,3148.57
2026-01-23,55,Noah Vargas,Cavalcante,Marketing,TikTok Ads,Conversão,19528,660,1990.49,64,7200.93
2026-01-08,7,Pedro Lucas Campos,Siqueira,SaaS,TikTok Ads,Awareness,5270,1616,2342.25,65,6742.19
2026-01-17,91,Mariah Montenegro,da Rocha,Varejo,TikTok Ads,Retargeting,13617,1085,2231.23,27,1441.55
2026-01-07,13,Hellena da Mota,Silva Silva Ltda.,Varejo,Google Ads,Black Friday,21740,952,1199.05,131,7132.61
2026-01-14,93,Nina Farias,Santos,SaaS,Google Ads,Awareness,35213,835,562.82,39,2828.9
2026-01-15,68,Marina Novais,Marques - ME,Marketing,LinkedIn Ads,Conversão,15796,1925,3871.54,59,3944.77
2026-01-25,29,Sr. Gabriel Vieira,Barros,Varejo,Google Ads,Conversão,22263,372,930.7,68,8582.45
2026-01-24,78,Sr. Arthur Miguel Barros,Oliveira,SaaS,TikTok Ads,Lead Gen,8666,1832,2069.61,74,8865.25
2026-01-25,19,Caio Casa Grande,Costa,SaaS,LinkedIn Ads,Promo,8142,490,4076.32,99,5696.5
2026-01-17,14,André Aragão,Rezende Cardoso S/A,SaaS,TikTok Ads,Promo,6492,1680,4886.05,108,15299.97
2026-01-28,18,Emanuelly das Neves,Moraes S.A.,Varejo,TikTok Ads,Lead Gen,36031,1956,3722.48,30,1901.74
2026-01-17,60,Sr. Mathias Sá,Almeida Vieira Ltda.,Marketing,LinkedIn Ads,Conversão,22010,1359,913.36,52,4946.47
2026-01-26,25,José Moraes,da Luz,E-commerce,Meta Ads,Retargeting,14227,1810,4453.43,84,6358.15
2026-01-08,8,Dr. Davi Lucas Carvalho,das Neves S.A.,E-commerce,Meta Ads,Promo,27415,834,542.16,74,10276.03
2026-01-19,64,Rael Fogaça,Sampaio,Marketing,TikTok Ads,Conversão,20683,1758,3240.61,96,11651.0
2026-01-09,38,Nicole Teixeira,Camargo Azevedo e Filhos,Varejo,TikTok Ads,Conversão,42326,1678,3852.36,80,7409.37
2026-01-14,85,Melina Freitas,Peixoto,Varejo,TikTok Ads,Black Friday,13033,609,951.68,18,1663.33
2026-01-06,44,Ravi Azevedo,Macedo,E-commerce,LinkedIn Ads,Lead Gen,14315,1118,3300.8,102,7256.42
2026-01-19,72,Ana Beatriz da Conceição,Almeida Jesus S.A.,SaaS,TikTok Ads,Black Friday,34220,821,2581.75,34,2833.29
2026-01-13,20,Joaquim Ferreira,Monteiro S.A.,SaaS,Google Ads,Awareness,43254,1426,4805.51,142,9318.88
2026-01-28,45,Luísa Siqueira,da Mota,E-commerce,TikTok Ads,Awareness,12802,670,3819.31,77,4302.52
2026-01-15,63,Sra. Maria Isis Cavalcante,Vargas,Varejo,LinkedIn Ads,Awareness,38865,633,1660.4,115,9386.59
2026-01-17,63,Cauã Cavalcante,da Cunha,E-commerce,LinkedIn Ads,Retargeting,46275,1725,4060.36,50,4641.5
2026-01-16,56,Arthur Gomes,Campos S.A.,Marketing,LinkedIn Ads,Promo,47813,1260,1514.37,85,11078.53
2026-01-04,12,Theo Gomes,Santos,Marketing,LinkedIn Ads,Lead Gen,14740,1464,771.72,136,11074.15
2026-01-11,63,Maria Sophia da Conceição,Pacheco,SaaS,LinkedIn Ads,Conversão,39636,1627,4188.28,98,6488.94
2026-01-08,18,Bruno Albuquerque,Vargas,Varejo,TikTok Ads,Lead Gen,9160,399,4564.59,25,2490.46
2026-01-31,7,Yasmin Almeida,Macedo Ltda.,SaaS,LinkedIn Ads,Awareness,46549,649,3933.88,45,2463.76
2026-01-06,39,Anthony Gabriel Porto,Vieira Nunes Ltda.,Varejo,Meta Ads,Black Friday,33955,1257,2405.34,97,5738.19
2026-01-05,94,Levi Nascimento,da Luz Brito - ME,E-commerce,Google Ads,Retargeting,20443,737,3933.78,21,2094.85
2026-01-10,21,Ravy Camargo,Machado - ME,SaaS,LinkedIn Ads,Lead Gen,26859,813,1808.52,17,2001.2
2026-01-15,29,Ana Vitória Guerra,Rocha Cavalcante - EI,E-commerce,LinkedIn Ads,Awareness,41266,261,4098.21,52,7587.26
2026-01-24,66,Luiz Miguel Pastor,Sousa,SaaS,Meta Ads,Conversão,5998,1348,4587.3,91,12652.44
2026-01-05,62,Ana Almeida,Abreu,Marketing,LinkedIn Ads,Promo,44372,1824,1560.17,29,3567.63
2026-01-30,23,Agatha Duarte,Vasconcelos Jesus - ME,Varejo,LinkedIn Ads,Conversão,16075,1775,1799.07,6,370.07
2026-01-16,12,Dr. Breno Barbosa,Novais,E-commerce,LinkedIn Ads,Awareness,28408,664,3679.44,146,18035.91
2026-01-18,11,Luigi Casa Grande,Pinto da Cruz - ME,Marketing,Meta Ads,Conversão,5195,1184,2767.56,91,5504.48
2026-01-05,27,João Felipe Cardoso,Alves S/A,Marketing,Meta Ads,Awareness,25710,1492,2451.09,109,13373.94
2026-01-21,69,Juan Sá,Correia,Varejo,TikTok Ads,Lead Gen,34356,1646,2970.32,34,4850.75
2026-01-01,68,Sra. Larissa Farias,Carvalho Ribeiro S.A.,Marketing,LinkedIn Ads,Awareness,46601,981,1726.46,116,14377.64
2026-01-04,75,Laís Aparecida,Sales,Varejo,Meta Ads,Lead Gen,11297,1089,3264.19,100,12568.87
2026-01-23,66,André Cirino,Gomes,SaaS,Meta Ads,Promo,21530,1124,4587.12,133,19492.29
2026-01-21,58,Sarah Sousa,da Mata,Marketing,LinkedIn Ads,Black Friday,23106,664,4097.54,64,4362.25
2026-01-10,66,Ana Luiza Araújo,Freitas Vargas Ltda.,SaaS,Google Ads,Retargeting,35390,1376,1188.46,94,5012.8
2026-01-19,74,Lucas Gabriel Siqueira,da Mata,SaaS,Google Ads,Black Friday,19512,1620,1840.46,51,3257.18
2026-01-06,35,Dra. Evelyn Vasconcelos,Castro Teixeira Ltda.,Varejo,LinkedIn Ads,Awareness,44935,436,3282.73,55,3954.1
2026-01-07,19,Arthur Miguel Monteiro,Aragão - ME,Marketing,Google Ads,Black Friday,6350,1347,3777.95,83,9099.69
2026-01-21,22,Maria Julia Novais,da Cruz,E-commerce,Google Ads,Promo,33986,309,1835.66,70,5936.75
2026-01-12,30,Daniela Brito,Leão S/A,Marketing,Google Ads,Conversão,20844,640,2913.94,103,8496.35
2026-01-17,7,Otto Montenegro,Duarte,Varejo,Google Ads,Conversão,24305,931,1931.65,111,11009.32
2026-01-27,83,João Melo,Aragão,Varejo,LinkedIn Ads,Conversão,44791,425,3424.95,109,8013.74
2026-01-29,70,Melina Duarte,Moura Silveira Ltda.,Marketing,TikTok Ads,Lead Gen,41637,1587,1749.93,136,18840.57
2026-01-21,65,Maria Flor Correia,Macedo,E-commerce,LinkedIn Ads,Lead Gen,7501,196,2182.16,12,1520.91
2026-01-25,85,Mirella Aparecida,Garcia Aragão - EI,Marketing,Google Ads,Awareness,46629,921,511.16,115,16850.06
2026-01-23,97,Natália Moraes,Nunes - EI,Varejo,TikTok Ads,Awareness,9114,370,3206.02,118,11282.42
2026-01-02,66,Augusto Albuquerque,Porto e Filhos,Marketing,TikTok Ads,Lead Gen,9092,308,3534.39,127,15950.09
2026-01-25,66,Emanuel Fernandes,Farias Macedo S.A.,SaaS,LinkedIn Ads,Conversão,10688,1140,4270.18,18,1782.59
2026-01-06,95,João Gonçalves,Aragão,SaaS,Google Ads,Lead Gen,16148,200,3767.06,35,3139.19
2026-01-16,68,Sr. João Lucas Castro,Souza,SaaS,Meta Ads,Promo,9247,602,1808.24,7,947.15
2026-01-22,18,Sra. Eduarda Cavalcanti,Pacheco,SaaS,Meta Ads,Conversão,12509,1453,1993.07,96,11416.18
2026-01-01,47,Ísis Silveira,Vasconcelos Moraes e Filhos,E-commerce,Google Ads,Promo,15068,1295,4093.6,37,2756.71
2026-01-30,20,Valentina Souza,Caldeira,SaaS,LinkedIn Ads,Black Friday,29637,858,1067.41,120,10281.38
2026-01-23,92,Sr. Vinicius Guerra,Souza,E-commerce,LinkedIn Ads,Conversão,39554,433,2140.91,122,14063.41
2026-01-14,41,Theo Garcia,Moraes,SaaS,Meta Ads,Black Friday,46828,665,4189.96,137,13689.54
2026-01-29,7,Enzo Gabriel da Cunha,Machado,Marketing,LinkedIn Ads,Lead Gen,39183,1538,2855.78,132,16833.63
2026-01-18,52,Francisco Aragão,Vieira da Luz S.A.,E-commerce,LinkedIn Ads,Lead Gen,37305,1314,593.69,78,8927.88
2026-01-01,83,Emanuelly Camargo,da Luz,Varejo,Meta Ads,Retargeting,14360,790,3484.42,108,7820.77
2026-01-10,57,Joana Pastor,Martins Andrade - EI,Varejo,LinkedIn Ads,Lead Gen,17441,906,2618.59,138,9629.8
2026-01-16,27,Luiz Fernando Peixoto,Siqueira,E-commerce,TikTok Ads,Retargeting,35420,849,4767.93,11,591.63
2026-01-09,13,Calebe Ferreira,das Neves - EI,SaaS,TikTok Ads,Awareness,23158,1411,4061.39,21,2406.8
2026-01-20,39,Ana Lívia Sampaio,Ramos Albuquerque S.A.,SaaS,Google Ads,Conversão,34319,1134,2043.74,47,2453.84
2026-01-25,96,Juliana da Cruz,Andrade Souza S/A,Marketing,LinkedIn Ads,Awareness,7637,1247,3553.49,149,14257.22
2026-01-09,93,Bruna Fonseca,Almeida,SaaS,Google Ads,Retargeting,16485,176,1688.95,60,3327.67
2026-01-04,8,Srta. Ana Clara Guerra,Gomes Freitas - EI,SaaS,Google Ads,Awareness,49770,808,3003.55,93,7099.33
2026-01-25,21,Sra. Stephany das Neves,da Costa Correia - ME,SaaS,TikTok Ads,Promo,32601,992,1885.9,132,14853.63
2026-01-06,27,Camila Pereira,Vargas Farias - EI,Varejo,TikTok Ads,Retargeting,23115,1624,2874.11,58,5958.53
2026-01-03,51,Mathias Cirino,Rezende,Marketing,LinkedIn Ads,Awareness,42837,1698,694.03,59,7535.01
2026-01-09,100,João Guilherme Costa,Nascimento,Marketing,LinkedIn Ads,Awareness,18286,657,4345.88,19,1070.15
2026-01-22,59,Maria Eduarda Nogueira,Andrade,Varejo,Google Ads,Promo,10197,198,1528.02,128,8787.13
2026-01-16,85,Dra. Beatriz Moura,Porto da Rocha Ltda.,Marketing,TikTok Ads,Promo,27589,597,3850.45,14,1521.61
2026-01-18,36,Leandro Pinto,Vasconcelos e Filhos,Varejo,Google Ads,Retargeting,22546,791,645.7,90,7721.24
2026-01-28,30,Ana Carolina Sampaio,Alves S.A.,SaaS,Meta Ads,Awareness,7214,1151,715.62,73,9633.05
2026-01-30,9,Dr. Noah Rezende,Viana Teixeira Ltda.,Marketing,LinkedIn Ads,Black Friday,22510,1493,527.09,108,14672.71
2026-01-07,48,Emilly da Cunha,da Conceição,E-commerce,Meta Ads,Promo,12702,1355,3382.24,27,3401.51
2026-01-07,92,Maria Luiza Jesus,Alves,E-commerce,TikTok Ads,Conversão,24336,1959,2005.8,145,10132.66
2026-01-26,21,Alana Oliveira,Guerra,E-commerce,TikTok Ads,Awareness,19756,566,1720.32,150,11995.93
2026-01-01,38,Milena Fonseca,Machado S.A.,E-commerce,TikTok Ads,Black Friday,46569,419,2279.66,12,1537.98
2026-01-14,16,Sr. Marcelo Cirino,Araújo Castro - ME,Marketing,LinkedIn Ads,Promo,33126,1673,2539.97,47,3185.57
2026-01-10,84,Leandro da Cruz,Melo,E-commerce,Google Ads,Awareness,41681,368,765.55,50,3024.4
2026-01-13,67,Dr. Pedro Miguel Abreu,Monteiro,Varejo,Google Ads,Black Friday,6236,516,1047.81,44,4348.17
2026-01-25,44,Maria Luiza Rodrigues,Costa,Marketing,TikTok Ads,Black Friday,38072,212,4838.95,120,15590.93
2026-01-14,45,Ryan da Mata,Gomes e Filhos,SaaS,LinkedIn Ads,Black Friday,43424,1953,889.47,105,8732.93
2026-01-31,11,Anthony Pimenta,Costa Duarte e Filhos,SaaS,LinkedIn Ads,Promo,45402,1895,1113.28,89,9952.14
2026-01-17,64,Gabriel Cavalcante,Correia - EI,SaaS,Google Ads,Awareness,37155,895,2824.82,115,13420.89
2026-01-15,77,Manuela Novaes,Costa,Varejo,TikTok Ads,Promo,25428,1881,767.02,39,5749.58
2026-01-07,82,Stella Sousa,Sousa,SaaS,Meta Ads,Awareness,10303,1678,1091.45,111,8053.32
2026-01-18,88,Maria Flor Marques,da Costa,Marketing,TikTok Ads,Awareness,39525,1883,1127.52,82,11720.07
2026-01-19,20,Olivia Fogaça,Moraes,Varejo,Google Ads,Conversão,27112,1446,4015.49,87,5897.25
2026-01-23,88,Isabelly Macedo,Vasconcelos Rocha S/A,SaaS,TikTok Ads,Lead Gen,10377,546,2375.32,69,8543.05
2026-01-15,18,Antonella Marques,Cardoso,SaaS,TikTok Ads,Lead Gen,9981,1066,2153.98,126,15876.37
2026-01-11,16,Larissa Novaes,Leão Lima e Filhos,SaaS,LinkedIn Ads,Conversão,26683,1070,864.7,99,7915.82
2026-01-05,34,Luara Aragão,Dias Nunes S.A.,Varejo,LinkedIn Ads,Conversão,8501,291,1265.89,97,11625.65
2026-01-13,85,Davi Porto,Andrade Moura - ME,E-commerce,Meta Ads,Retargeting,33520,797,527.53,79,8469.46
2026-01-28,69,Maitê Siqueira,Novaes,E-commerce,Meta Ads,Awareness,40485,1468,2040.01,31,3510.6
2026-01-12,74,André Santos,Vasconcelos Moraes S.A.,Marketing,LinkedIn Ads,Lead Gen,43448,676,2329.65,35,3662.78
2026-01-31,41,Ravy Cunha,Siqueira - ME,E-commerce,Google Ads,Retargeting,14979,841,2046.46,98,6545.87
2026-01-29,52,Pedro Pinto,Azevedo,Varejo,TikTok Ads,Promo,24510,935,3974.79,123,8404.85
2026-01-25,62,Maria Monteiro,Gomes Jesus S/A,Marketing,Google Ads,Awareness,29943,682,2076.69,150,20993.69
2026-01-07,77,Kevin Duarte,Costela S.A.,SaaS,TikTok Ads,Black Friday,31608,331,2524.45,41,4355.48
2026-01-09,83,Dr. João Cassiano,Jesus,Varejo,TikTok Ads,Awareness,37786,1384,931.66,20,2816.76
2026-01-26,25,Ravi Lucca Nascimento,Martins,Marketing,LinkedIn Ads,Awareness,19299,1146,1923.72,15,1948.85
2026-01-04,72,Benicio Aparecida,da Mata e Filhos,Varejo,Google Ads,Promo,40019,1438,4552.9,138,9382.09
2026-01-20,17,Dr. Bento Porto,Fogaça e Filhos,E-commerce,TikTok Ads,Retargeting,41424,1026,997.82,49,5710.4
2026-01-24,40,Dra. Caroline Leão,Guerra,Varejo,Meta Ads,Retargeting,39663,1299,922.83,45,2983.01
2026-01-05,41,Maria Helena Cavalcante,Andrade Ltda.,E-commerce,LinkedIn Ads,Retargeting,39048,1600,4555.58,126,10993.78
2026-01-04,71,Enrico Duarte,Novais,Marketing,LinkedIn Ads,Conversão,28798,1482,3403.98,58,7808.21
2026-01-06,76,Mathias Vargas,Casa Grande Pinto Ltda.,Marketing,Google Ads,Retargeting,36561,525,4075.48,63,5793.83
2026-01-06,69,Dr. Anthony Novais,Abreu Ribeiro - EI,E-commerce,TikTok Ads,Awareness,6874,1657,1977.8,57,6466.1
2026-01-30,43,Rael Andrade,Mendes Cavalcante - ME,Varejo,LinkedIn Ads,Conversão,40291,1248,501.42,54,4515.32
2026-01-24,15,Pietro Pinto,Moura S/A,Varejo,Meta Ads,Retargeting,11345,352,4639.4,62,5831.09
2026-01-08,94,Ana Lívia Lopes,Rios Vieira e Filhos,Varejo,Meta Ads,Awareness,35497,211,901.04,131,17337.58
